楼栋	房号	建筑面积	套内面积	公摊面积	价格	总价
7栋	701	87.86	67.06	20.8	46592.88	4093650.437
7栋	702	111.66	85.23	26.43	48042.06	5364376.42
7栋	703	87.86	67.06	20.8	48160.18	4231353.415
7栋	705	87.6	66.86	20.74	47837.63	4190576.388
7栋	706	87.72	66.95	20.77	47923.94	4203888.017
7栋	601	87.86	67.06	20.8	46512.87	4086620.758
7栋	602	111.66	85.23	26.43	47962.06	5355443.62
7栋	603	87.86	67.06	20.8	48080.17	4224323.736
7栋	605	87.6	66.86	20.74	47757.63	4183568.388
7栋	606	87.72	66.95	20.77	47843.94	4196870.417
7栋	501	87.86	67.06	20.8	46432.87	4079591.958
7栋	502	111.66	85.23	26.43	47882.06	5346510.82
7栋	503	87.86	67.06	20.8	48000.17	4217294.936
7栋	505	87.6	66.86	20.74	47677.63	4176560.388
7栋	506	87.72	66.95	20.77	47763.94	4189852.817
7栋	401	87.86	67.06	20.8	46352.87	4072563.158
7栋	402	111.66	85.23	26.43	47802.06	5337578.02
7栋	403	87.86	67.06	20.8	47920.17	4210266.136
7栋	405	87.6	66.86	20.74	47597.63	4169552.388
7栋	406	87.72	66.95	20.77	47683.94	4182835.217
